originreportzone,destreportzone,departtime,trippurpose,modeprimary
240,300,1315,41,2
300,200,1425,41,2
200,50,1530,80,2
140,50,2000,80,1
260,240,715,10,1
240,260,1625,80,1
260,260,840,52,1
260,50,855,10,1
50,260,1730,80,1
260,260,840,30,2
260,260,1530,80,2
260,260,850,30,18
260,260,1555,80,18
140,50,1240,46,1
50,50,1440,44,1
50,140,1510,80,1
140,140,730,46,6
140,140,740,10,6
140,140,1620,80,6
140,140,715,10,6
140,140,1530,80,6
140,120,630,30,4
120,140,1515,80,4
140,140,845,30,6
140,140,1430,80,6
140,180,845,30,18
180,140,1500,80,18
500,500,820,52,1
500,500,830,52,1
500,500,835,80,1
500,500,915,41,1
500,500,1000,80,1
500,500,1450,51,7
500,500,1525,80,7
500,1,1800,12,1
1,500,2300,80,1
500,500,1820,46,1
500,500,2000,80,1
500,500,820,30,2
500,500,820,52,2
500,500,830,30,2
500,500,1525,80,7
500,500,1820,46,2
500,500,2000,80,2
260,200,1230,80,2
500,500,1800,43,1
500,500,1830,80,1
500,260,1005,41,1
260,260,1015,41,1
260,500,1020,41,1
500,500,1035,41,1
500,500,1045,41,1
500,500,1100,41,1
500,500,1125,80,1
500,500,1625,41,1
500,500,1645,80,1
500,260,1005,41,2
260,260,1015,41,2
260,500,1020,41,2
500,500,1035,41,2
500,500,1045,41,2
500,500,1100,41,2
500,500,1125,80,2
260,500,730,10,13
500,50,1800,46,13
50,260,2020,80,13
260,500,2130,10,1
500,260,2145,80,1
260,500,745,10,1
500,260,1630,80,1
260,260,755,51,1
260,200,800,30,1
200,260,1445,80,1
260,260,1640,10,1
260,260,2115,80,1
50,240,1400,51,1
