originreportzone,destreportzone,departtime,trippurpose,modeprimary,tripfactor
260,500,1915,80,1,10.37
200,1,810,10,6,16.78
1,200,1710,80,6,16.78
450,500,1010,43,1,20.89
500,450,1139,80,1,20.89
500,500,1120,41,7,13.35
500,500,1130,80,7,13.35
140,200,1830,44,1,41.65
200,200,1950,41,1,41.65
200,200,2030,41,1,41.65
200,140,2100,80,1,41.65
140,140,2130,46,1,41.65
140,140,2300,80,1,41.65
50,140,910,43,1,14.49
140,50,1030,80,1,14.49
260,700,1345,52,1,17.8
700,260,1420,80,1,17.8
200,200,1350,43,1,7.19
200,200,1420,41,1,7.19
200,200,1430,80,1,7.19
200,50,1500,41,1,7.19
50,200,1520,80,1,7.19
200,50,815,46,6,7.19
50,200,1020,80,6,7.19
140,140,1100,41,2,14.09
140,140,1200,80,1,14.09
140,140,1300,41,1,14.09
140,180,1400,41,1,14.09
180,140,1430,80,1,14.09
140,140,1500,41,1,14.09
140,140,1600,80,1,14.09
1,1,830,10,7,11.97
1,1,1340,11,7,11.97
1,1,1440,10,7,11.97
1,1,1725,80,7,11.97
1,50,1800,46,7,11.97
50,1,2515,80,7,11.97
260,560,1715,46,1,10.19
560,260,1930,80,1,10.19
400,260,1100,40,1,24.04
260,260,1120,41,1,24.04
260,200,1300,41,1,24.04
200,400,1345,80,1,24.04
400,360,1600,46,1,24.04
360,400,1700,80,1,24.04
400,260,1100,40,2,24.04
260,260,1120,41,2,24.04
260,200,1300,41,2,24.04
200,400,1345,80,2,24.04
400,140,1800,44,1,24.04
140,300,1930,46,1,24.04
300,400,2130,80,1,24.04
400,360,1200,46,1,24.04
360,400,1300,80,1,24.04
400,360,1600,46,2,24.04
360,400,1700,80,2,24.04
240,240,850,52,1,11.12
240,240,900,80,1,11.12
